ts_utc,open,high,low,close,tick_volume
2026-06-18T14:00:00Z,2339.70,2341.50,2338.10,2339.34,120
2026-06-18T15:00:00Z,2339.19,2341.09,2337.49,2338.95,123
2026-06-18T16:00:00Z,2338.95,2340.95,2337.15,2338.83,126
2026-06-18T17:00:00Z,2338.98,2340.78,2337.08,2338.98,129
2026-06-18T18:00:00Z,2339.28,2341.18,2337.68,2339.40,132
2026-06-18T19:00:00Z,2339.10,2341.10,2337.40,2339.34,135
2026-06-18T20:00:00Z,2339.19,2340.99,2337.39,2339.55,138
2026-06-18T21:00:00Z,2339.55,2341.45,2337.65,2339.19,141
2026-06-18T22:00:00Z,2339.34,2341.34,2337.74,2339.10,144
2026-06-18T23:00:00Z,2339.40,2341.20,2337.70,2339.28,147
2026-06-19T00:00:00Z,2338.98,2340.88,2337.18,2338.98,150
2026-06-19T01:00:00Z,2338.83,2340.83,2336.93,2338.95,153
2026-06-19T02:00:00Z,2338.95,2340.75,2337.35,2339.19,156
2026-06-19T03:00:00Z,2339.34,2341.24,2337.64,2339.70,159
2026-06-19T04:00:00Z,2340.00,2342.00,2338.20,2339.64,162
2026-06-19T05:00:00Z,2339.34,2341.14,2337.44,2339.10,165
2026-06-19T06:00:00Z,2338.95,2340.85,2337.35,2338.83,168
2026-06-19T07:00:00Z,2338.83,2340.83,2337.13,2338.83,171
